uN:0,uN:1,uN:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
-3.21186e-07,-5.88074e-06,-6.58066e-08,1,0,0.005,0,0.0075,0
-3.21534e-07,-5.88018e-06,-6.58844e-08,1,4.50001e-05,0.005045,0,0.0075,1
-3.21883e-07,-5.87962e-06,-6.59623e-08,1,9.00002e-05,0.00509,0,0.0075,2
-3.22231e-07,-5.87906e-06,-6.60402e-08,1,0.000135,0.005135,0,0.0075,3
-3.2258e-07,-5.8785e-06,-6.61181e-08,1,0.00018,0.00518,0,0.0075,4
-3.22928e-07,-5.87794e-06,-6.6196e-08,1,0.000225,0.005225,0,0.0075,5
-3.23277e-07,-5.87737e-06,-6.62739e-08,1,0.00027,0.00527,0,0.0075,6
-3.23625e-07,-5.87681e-06,-6.63518e-08,1,0.000315,0.005315,0,0.0075,7
-3.23973e-07,-5.87625e-06,-6.64297e-08,1,0.00036,0.00536,0,0.0075,8
-3.24322e-07,-5.87569e-06,-6.65076e-08,1,0.000405,0.005405,0,0.0075,9
-3.2467e-07,-5.87513e-06,-6.65855e-08,1,0.00045,0.00545,0,0.0075,10
-3.25019e-07,-5.87457e-06,-6.66633e-08,1,0.000495,0.005495,0,0.0075,11
-3.25367e-07,-5.87401e-06,-6.67412e-08,1,0.00054,0.00554,0,0.0075,12
-3.25716e-07,-5.87344e-06,-6.68191e-08,1,0.000585,0.005585,0,0.0075,13
-3.26064e-07,-5.87288e-06,-6.6897e-08,1,0.00063,0.00563,0,0.0075,14
-3.26413e-07,-5.87232e-06,-6.69749e-08,1,0.000675,0.005675,0,0.0075,15
-3.26761e-07,-5.87176e-06,-6.70528e-08,1,0.00072,0.00572,0,0.0075,16
-3.27109e-07,-5.8712e-06,-6.71307e-08,1,0.000765,0.005765,0,0.0075,17
-3.27458e-07,-5.87064e-06,-6.72086e-08,1,0.00081,0.00581,0,0.0075,18
-3.27806e-07,-5.87008e-06,-6.72865e-08,1,0.000855,0.005855,0,0.0075,19
