sigmaEq,uN:0,uN:1,uN:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
1.01397e+07,-6.564e-07,-5.36216e-06,-6.98491e-08,1,0,0,0.005,0.0075,0
1.00556e+07,-6.53797e-07,-5.36261e-06,-6.9936e-08,1,4.50001e-05,0,0.005045,0.0075,1
9.97151e+06,-6.51194e-07,-5.36305e-06,-7.00228e-08,1,9.00002e-05,0,0.00509,0.0075,2
9.88739e+06,-6.48591e-07,-5.36349e-06,-7.01097e-08,1,0.000135,0,0.005135,0.0075,3
9.80328e+06,-6.45989e-07,-5.36393e-06,-7.01966e-08,1,0.00018,0,0.00518,0.0075,4
9.71916e+06,-6.43386e-07,-5.36438e-06,-7.02834e-08,1,0.000225,0,0.005225,0.0075,5
9.63505e+06,-6.40783e-07,-5.36482e-06,-7.03703e-08,1,0.00027,0,0.00527,0.0075,6
9.55093e+06,-6.38181e-07,-5.36526e-06,-7.04572e-08,1,0.000315,0,0.005315,0.0075,7
9.46682e+06,-6.35578e-07,-5.3657e-06,-7.0544e-08,1,0.00036,0,0.00536,0.0075,8
9.3827e+06,-6.32975e-07,-5.36614e-06,-7.06309e-08,1,0.000405,0,0.005405,0.0075,9
9.29859e+06,-6.30372e-07,-5.36659e-06,-7.07177e-08,1,0.00045,0,0.00545,0.0075,10
9.21447e+06,-6.2777e-07,-5.36703e-06,-7.08046e-08,1,0.000495,0,0.005495,0.0075,11
9.13036e+06,-6.25167e-07,-5.36747e-06,-7.08915e-08,1,0.00054,0,0.00554,0.0075,12
9.04624e+06,-6.22564e-07,-5.36791e-06,-7.09783e-08,1,0.000585,0,0.005585,0.0075,13
8.96213e+06,-6.19962e-07,-5.36835e-06,-7.10652e-08,1,0.00063,0,0.00563,0.0075,14
8.87801e+06,-6.17359e-07,-5.3688e-06,-7.1152e-08,1,0.000675,0,0.005675,0.0075,15
8.7939e+06,-6.14756e-07,-5.36924e-06,-7.12389e-08,1,0.00072,0,0.00572,0.0075,16
8.70978e+06,-6.12153e-07,-5.36968e-06,-7.13258e-08,1,0.000765,0,0.005765,0.0075,17
8.62567e+06,-6.09551e-07,-5.37012e-06,-7.14126e-08,1,0.00081,0,0.00581,0.0075,18
8.54155e+06,-6.06948e-07,-5.37057e-06,-7.14995e-08,1,0.000855,0,0.005855,0.0075,19
8.45744e+06,-6.04345e-07,-5.37101e-06,-7.15863e-08,1,0.0009,0,0.0059,0.0075,20
8.37332e+06,-6.01743e-07,-5.37145e-06,-7.16732e-08,1,0.000945,0,0.005945,0.0075,21
8.28921e+06,-5.9914e-07,-5.37189e-06,-7.17601e-08,1,0.00099,0,0.00599,0.0075,22
8.20509e+06,-5.96537e-07,-5.37233e-06,-7.18469e-08,1,0.001035,0,0.006035,0.0075,23
8.12098e+06,-5.93934e-07,-5.37278e-06,-7.19338e-08,1,0.00108,0,0.00608,0.0075,24
8.03686e+06,-5.91332e-07,-5.37322e-06,-7.20206e-08,1,0.001125,0,0.006125,0.0075,25
7.95275e+06,-5.88729e-07,-5.37366e-06,-7.21075e-08,1,0.00117,0,0.00617,0.0075,26
7.86863e+06,-5.86126e-07,-5.3741e-06,-7.21944e-08,1,0.001215,0,0.006215,0.0075,27
7.78452e+06,-5.83524e-07,-5.37455e-06,-7.22812e-08,1,0.00126,0,0.00626,0.0075,28
7.7004e+06,-5.80921e-07,-5.37499e-06,-7.23681e-08,1,0.001305,0,0.006305,0.0075,29
7.61629e+06,-5.78318e-07,-5.37543e-06,-7.24549e-08,1,0.00135,0,0.00635,0.0075,30
7.53217e+06,-5.75715e-07,-5.37587e-06,-7.25418e-08,1,0.001395,0,0.006395,0.0075,31
7.44806e+06,-5.73113e-07,-5.37631e-06,-7.26287e-08,1,0.00144,0,0.00644,0.0075,32
7.36394e+06,-5.7051e-07,-5.37676e-06,-7.27155e-08,1,0.001485,0,0.006485,0.0075,33
7.30091e+06,-5.68208e-07,-5.37686e-06,-7.25685e-08,1,0.00153,0,0.00653,0.0075,34
7.24841e+06,-5.66058e-07,-5.37679e-06,-7.23046e-08,1,0.001575,0,0.006575,0.0075,35
7.19591e+06,-5.63907e-07,-5.37673e-06,-7.20407e-08,1,0.00162,0,0.00662,0.0075,36
7.14341e+06,-5.61756e-07,-5.37666e-06,-7.17768e-08,1,0.001665,0,0.006665,0.0075,37
7.09092e+06,-5.59605e-07,-5.3766e-06,-7.15128e-08,1,0.00171,0,0.00671,0.0075,38
7.03842e+06,-5.57454e-07,-5.37653e-06,-7.12489e-08,1,0.001755,0,0.006755,0.0075,39
6.98592e+06,-5.55303e-07,-5.37647e-06,-7.0985e-08,1,0.0018,0,0.0068,0.0075,40
6.93342e+06,-5.53152e-07,-5.3764e-06,-7.07211e-08,1,0.001845,0,0.006845,0.0075,41
6.88093e+06,-5.51001e-07,-5.37633e-06,-7.04571e-08,1,0.00189,0,0.00689,0.0075,42
6.82843e+06,-5.48851e-07,-5.37627e-06,-7.01932e-08,1,0.001935,0,0.006935,0.0075,43
6.77593e+06,-5.467e-07,-5.3762e-06,-6.99293e-08,1,0.00198,0,0.00698,0.0075,44
6.72343e+06,-5.44549e-07,-5.37614e-06,-6.96654e-08,1,0.002025,0,0.007025,0.0075,45
6.67094e+06,-5.42398e-07,-5.37607e-06,-6.94014e-08,1,0.00207,0,0.00707,0.0075,46
6.61844e+06,-5.40247e-07,-5.376e-06,-6.91375e-08,1,0.002115,0,0.007115,0.0075,47
6.56594e+06,-5.38096e-07,-5.37594e-06,-6.88736e-08,1,0.00216,0,0.00716,0.0075,48
6.51344e+06,-5.35945e-07,-5.37587e-06,-6.86097e-08,1,0.002205,0,0.007205,0.0075,49
6.46094e+06,-5.33794e-07,-5.37581e-06,-6.83457e-08,1,0.00225,0,0.00725,0.0075,50
6.40845e+06,-5.31644e-07,-5.37574e-06,-6.80818e-08,1,0.002295,0,0.007295,0.0075,51
6.35595e+06,-5.29493e-07,-5.37568e-06,-6.78179e-08,1,0.00234,0,0.00734,0.0075,52
6.30345e+06,-5.27342e-07,-5.37561e-06,-6.7554e-08,1,0.002385,0,0.007385,0.0075,53
6.25095e+06,-5.25191e-07,-5.37554e-06,-6.729e-08,1,0.00243,0,0.00743,0.0075,54
6.19846e+06,-5.2304e-07,-5.37548e-06,-6.70261e-08,1,0.002475,0,0.007475,0.0075,55
6.14596e+06,-5.20889e-07,-5.37541e-06,-6.67622e-08,1,0.00252,0,0.00752,0.0075,56
6.09346e+06,-5.18738e-07,-5.37535e-06,-6.64983e-08,1,0.002565,0,0.007565,0.0075,57
6.04096e+06,-5.16587e-07,-5.37528e-06,-6.62343e-08,1,0.00261,0,0.00761,0.0075,58
5.98847e+06,-5.14437e-07,-5.37522e-06,-6.59704e-08,1,0.002655,0,0.007655,0.0075,59
5.93597e+06,-5.12286e-07,-5.37515e-06,-6.57065e-08,1,0.0027,0,0.0077,0.0075,60
5.88347e+06,-5.10135e-07,-5.37508e-06,-6.54426e-08,1,0.002745,0,0.007745,0.0075,61
5.83097e+06,-5.07984e-07,-5.37502e-06,-6.51786e-08,1,0.00279,0,0.00779,0.0075,62
5.77848e+06,-5.05833e-07,-5.37495e-06,-6.49147e-08,1,0.002835,0,0.007835,0.0075,63
5.72598e+06,-5.03682e-07,-5.37489e-06,-6.46508e-08,1,0.00288,0,0.00788,0.0075,64
5.67348e+06,-5.01531e-07,-5.37482e-06,-6.43869e-08,1,0.002925,0,0.007925,0.0075,65
5.62098e+06,-4.9938e-07,-5.37475e-06,-6.4123e-08,1,0.00297,0,0.00797,0.0075,66
5.5777e+06,-4.97356e-07,-5.37465e-06,-6.39569e-08,1,0.003015,0,0.008015,0.0075,67
5.55287e+06,-4.95586e-07,-5.37446e-06,-6.39868e-08,1,0.00306,0,0.00806,0.0075,68
5.52803e+06,-4.93816e-07,-5.37427e-06,-6.40166e-08,1,0.003105,0,0.008105,0.0075,69
5.50319e+06,-4.92046e-07,-5.37408e-06,-6.40464e-08,1,0.00315,0,0.00815,0.0075,70
5.47835e+06,-4.90275e-07,-5.37388e-06,-6.40762e-08,1,0.003195,0,0.008195,0.0075,71
5.45351e+06,-4.88505e-07,-5.37369e-06,-6.4106e-08,1,0.00324,0,0.00824,0.0075,72
5.42868e+06,-4.86735e-07,-5.3735e-06,-6.41358e-08,1,0.003285,0,0.008285,0.0075,73
5.40384e+06,-4.84965e-07,-5.37331e-06,-6.41657e-08,1,0.00333,0,0.00833,0.0075,74
5.379e+06,-4.83194e-07,-5.37312e-06,-6.41955e-08,1,0.003375,0,0.008375,0.0075,75
5.35416e+06,-4.81424e-07,-5.37293e-06,-6.42253e-08,1,0.00342,0,0.00842,0.0075,76
5.32932e+06,-4.79654e-07,-5.37274e-06,-6.42551e-08,1,0.003465,0,0.008465,0.0075,77
5.30449e+06,-4.77884e-07,-5.37255e-06,-6.42849e-08,1,0.00351,0,0.00851,0.0075,78
5.27965e+06,-4.76113e-07,-5.37236e-06,-6.43147e-08,1,0.003555,0,0.008555,0.0075,79
5.25481e+06,-4.74343e-07,-5.37217e-06,-6.43446e-08,1,0.0036,0,0.0086,0.0075,80
5.22997e+06,-4.72573e-07,-5.37198e-06,-6.43744e-08,1,0.003645,0,0.008645,0.0075,81
5.20513e+06,-4.70803e-07,-5.37179e-06,-6.44042e-08,1,0.00369,0,0.00869,0.0075,82
5.1803e+06,-4.69032e-07,-5.3716e-06,-6.4434e-08,1,0.003735,0,0.008735,0.0075,83
5.15546e+06,-4.67262e-07,-5.37141e-06,-6.44638e-08,1,0.00378,0,0.00878,0.0075,84
5.13062e+06,-4.65492e-07,-5.37122e-06,-6.44936e-08,1,0.003825,0,0.008825,0.0075,85
5.10578e+06,-4.63722e-07,-5.37103e-06,-6.45235e-08,1,0.00387,0,0.00887,0.0075,86
5.08094e+06,-4.61951e-07,-5.37083e-06,-6.45533e-08,1,0.003915,0,0.008915,0.0075,87
5.0561e+06,-4.60181e-07,-5.37064e-06,-6.45831e-08,1,0.00396,0,0.00896,0.0075,88
5.03127e+06,-4.58411e-07,-5.37045e-06,-6.46129e-08,1,0.004005,0,0.009005,0.0075,89
5.00643e+06,-4.56641e-07,-5.37026e-06,-6.46427e-08,1,0.00405,0,0.00905,0.0075,90
4.98159e+06,-4.5487e-07,-5.37007e-06,-6.46725e-08,1,0.004095,0,0.009095,0.0075,91
4.95675e+06,-4.531e-07,-5.36988e-06,-6.47024e-08,1,0.00414,0,0.00914,0.0075,92
4.93191e+06,-4.5133e-07,-5.36969e-06,-6.47322e-08,1,0.004185,0,0.009185,0.0075,93
4.90708e+06,-4.4956e-07,-5.3695e-06,-6.4762e-08,1,0.00423,0,0.00923,0.0075,94
4.88224e+06,-4.47789e-07,-5.36931e-06,-6.47918e-08,1,0.004275,0,0.009275,0.0075,95
4.8574e+06,-4.46019e-07,-5.36912e-06,-6.48216e-08,1,0.00432,0,0.00932,0.0075,96
4.83256e+06,-4.44249e-07,-5.36893e-06,-6.48514e-08,1,0.004365,0,0.009365,0.0075,97
4.80772e+06,-4.42479e-07,-5.36874e-06,-6.48813e-08,1,0.00441,0,0.00941,0.0075,98
4.78289e+06,-4.40708e-07,-5.36855e-06,-6.49111e-08,1,0.004455,0,0.009455,0.0075,99
4.75805e+06,-4.38938e-07,-5.36836e-06,-6.49409e-08,1,0.0045,0,0.0095,0.0075,100
4.73321e+06,-4.37168e-07,-5.36817e-06,-6.49707e-08,1,0.004545,0,0.009545,0.0075,101
4.70837e+06,-4.35398e-07,-5.36798e-06,-6.50005e-08,1,0.00459,0,0.00959,0.0075,102
4.68353e+06,-4.33627e-07,-5.36778e-06,-6.50303e-08,1,0.004635,0,0.009635,0.0075,103
4.66579e+06,-4.31879e-07,-5.3675e-06,-6.49077e-08,1,0.00468,0,0.00968,0.0075,104
4.65339e+06,-4.30147e-07,-5.36713e-06,-6.46698e-08,1,0.004725,0,0.009725,0.0075,105
4.641e+06,-4.28415e-07,-5.36677e-06,-6.4432e-08,1,0.00477,0,0.00977,0.0075,106
4.62861e+06,-4.26683e-07,-5.3664e-06,-6.41941e-08,1,0.004815,0,0.009815,0.0075,107
4.61621e+06,-4.24951e-07,-5.36604e-06,-6.39563e-08,1,0.00486,0,0.00986,0.0075,108
4.60382e+06,-4.23219e-07,-5.36568e-06,-6.37184e-08,1,0.004905,0,0.009905,0.0075,109
4.59143e+06,-4.21487e-07,-5.36531e-06,-6.34806e-08,1,0.00495,0,0.00995,0.0075,110
4.57903e+06,-4.19755e-07,-5.36495e-06,-6.32427e-08,1,0.004995,0,0.009995,0.0075,111
4.56664e+06,-4.18023e-07,-5.36459e-06,-6.30049e-08,1,0.00504,0,0.01004,0.0075,112
4.55425e+06,-4.16291e-07,-5.36422e-06,-6.2767e-08,1,0.005085,0,0.010085,0.0075,113
4.54185e+06,-4.14559e-07,-5.36386e-06,-6.25292e-08,1,0.00513,0,0.01013,0.0075,114
4.52946e+06,-4.12827e-07,-5.36349e-06,-6.22913e-08,1,0.005175,0,0.010175,0.0075,115
4.51707e+06,-4.11095e-07,-5.36313e-06,-6.20535e-08,1,0.00522,0,0.01022,0.0075,116
4.50467e+06,-4.09362e-07,-5.36277e-06,-6.18156e-08,1,0.005265,0,0.010265,0.0075,117
