uN:0,uN:1,uN:2,arc_length,Points:0,Points:1,Points:2,Point ID,Block Number
-1.66578e-07,-6.30799e-06,-2.1949e-08,0,0,-0.0074979,0.0075,0,2
-1.66503e-07,-6.30401e-06,-2.21282e-08,0.000247406,0.000247331,-0.00749183,0.0075,1,2
-1.66447e-07,-6.302e-06,-2.22199e-08,0.000368015,0.000367904,-0.00748887,0.0075,2,2
-1.66587e-07,-6.29793e-06,-2.25008e-08,0.000615421,0.00061464,-0.00747067,0.0075,3,2
-1.66659e-07,-6.29588e-06,-2.26274e-08,0.000736031,0.000734923,-0.00746179,0.0075,4,2
-1.67044e-07,-6.29172e-06,-2.29706e-08,0.000983437,0.000980468,-0.00743151,0.0075,5,2
-1.67213e-07,-6.28964e-06,-2.31474e-08,0.00110405,0.00110017,-0.00741675,0.0075,6,2
-1.67793e-07,-6.28538e-06,-2.3581e-08,0.00135145,0.00134393,-0.00737445,0.0075,7,2
-1.6808e-07,-6.28325e-06,-2.37874e-08,0.00147206,0.00146277,-0.00735383,0.0075,8,2
-1.68899e-07,-6.27887e-06,-2.42726e-08,0.00171947,0.00170416,-0.00729962,0.0075,9,2
-1.69279e-07,-6.27668e-06,-2.45238e-08,0.00184008,0.00182184,-0.0072732,0.0075,10,2
-1.70294e-07,-6.27218e-06,-2.50906e-08,0.00208748,0.00206028,-0.00720721,0.0075,11,2
-1.70793e-07,-6.26994e-06,-2.53667e-08,0.00220809,0.00217653,-0.00717504,0.0075,12,2
-1.72054e-07,-6.2653e-06,-2.59761e-08,0.0024555,0.00241144,-0.00709744,0.0075,13,2
-1.7265e-07,-6.26299e-06,-2.62925e-08,0.00257611,0.00252597,-0.0070596,0.0075,14,2
-1.74119e-07,-6.25821e-06,-2.69761e-08,0.00282351,0.00275679,-0.00697056,0.0075,15,2
-1.74841e-07,-6.25583e-06,-2.73133e-08,0.00294412,0.00286932,-0.00692716,0.0075,16,2
-1.76575e-07,-6.25091e-06,-2.80321e-08,0.00319153,0.0030955,-0.0068269,0.0075,17,2
-1.77403e-07,-6.24845e-06,-2.84061e-08,0.00331214,0.00320577,-0.00677802,0.0075,18,2
-1.79363e-07,-6.24339e-06,-2.91924e-08,0.00355954,0.00342675,-0.00666678,0.0075,19,2
-1.80328e-07,-6.24085e-06,-2.95835e-08,0.00368015,0.00353449,-0.00661256,0.0075,20,2
-1.82575e-07,-6.23565e-06,-3.03987e-08,0.00392756,0.00374975,-0.00649061,0.0075,21,2
-1.83656e-07,-6.23304e-06,-3.08232e-08,0.00404817,0.00385469,-0.00643116,0.0075,22,2
-1.86149e-07,-6.22771e-06,-3.16998e-08,0.00429557,0.00406371,-0.0062988,0.0075,23,2
-1.87378e-07,-6.22502e-06,-3.21384e-08,0.00441618,0.00416561,-0.00623428,0.0075,24,2
-1.90176e-07,-6.21956e-06,-3.30381e-08,0.00466359,0.00436788,-0.00609182,0.0075,25,2
-1.91531e-07,-6.21681e-06,-3.35069e-08,0.0047842,0.00446649,-0.00602237,0.0075,26,2
-1.9459e-07,-6.21123e-06,-3.4462e-08,0.00503161,0.00466153,-0.00587016,0.0075,27,2
-1.96103e-07,-6.20842e-06,-3.49418e-08,0.00515221,0.00475662,-0.00579595,0.0075,28,2
-1.99481e-07,-6.20274e-06,-3.59145e-08,0.00539962,0.00494395,-0.00563436,0.0075,29,2
-2.01127e-07,-6.19986e-06,-3.64214e-08,0.00552023,0.00503528,-0.00555558,0.0075,30,2
-2.02933e-07,-6.19693e-06,-3.69368e-08,0.00564084,0.00512263,-0.00547241,0.0075,31,2
-2.06581e-07,-6.19117e-06,-3.7958e-08,0.00588825,0.00530182,-0.00530182,0.0075,32,2
-2.1055e-07,-6.18533e-06,-3.89899e-08,0.00613565,0.00547241,-0.00512263,0.0075,33,2
-2.12491e-07,-6.18236e-06,-3.95297e-08,0.00625626,0.00555558,-0.00503528,0.0075,34,2
-2.16718e-07,-6.17648e-06,-4.06077e-08,0.00650367,0.00571718,-0.00484794,0.0075,35,2
-2.18821e-07,-6.17347e-06,-4.11509e-08,0.00662428,0.00579595,-0.00475662,0.0075,36,2
-2.23365e-07,-6.16755e-06,-4.22315e-08,0.00687168,0.00594817,-0.00456158,0.0075,37,2
-2.25598e-07,-6.16452e-06,-4.27966e-08,0.00699229,0.00602237,-0.00446649,0.0075,38,2
-2.30386e-07,-6.15859e-06,-4.39164e-08,0.0072397,0.00616483,-0.00426422,0.0075,39,2
-2.32774e-07,-6.15554e-06,-4.44818e-08,0.00736031,0.00623428,-0.00416561,0.0075,40,2
-2.37856e-07,-6.14961e-06,-4.55978e-08,0.00760771,0.00636664,-0.00395659,0.0075,41,2
-2.40365e-07,-6.14655e-06,-4.61815e-08,0.00772832,0.00643116,-0.00385469,0.0075,42,2
-2.45663e-07,-6.14064e-06,-4.73295e-08,0.00797573,0.00655311,-0.00363943,0.0075,43,2
-2.48314e-07,-6.13758e-06,-4.791e-08,0.00809634,0.00661256,-0.00353449,0.0075,44,2
-2.53871e-07,-6.13171e-06,-4.90473e-08,0.00834374,0.00672379,-0.0033135,0.0075,45,2
-2.56628e-07,-6.12866e-06,-4.96423e-08,0.00846435,0.00677802,-0.00320577,0.0075,46,2
-2.62362e-07,-6.12283e-06,-5.0804e-08,0.00871176,0.00687828,-0.00297958,0.0075,47,2
-2.65241e-07,-6.11979e-06,-5.13919e-08,0.00883237,0.00692716,-0.00286932,0.0075,48,2
-2.71187e-07,-6.11403e-06,-5.25353e-08,0.00907977,0.0070162,-0.00263849,0.0075,49,2
-2.7415e-07,-6.11102e-06,-5.31339e-08,0.00920038,0.0070596,-0.00252597,0.0075,50,2
-2.80223e-07,-6.10532e-06,-5.42942e-08,0.00944779,0.00713721,-0.00229105,0.0075,51,2
-2.83283e-07,-6.10234e-06,-5.48815e-08,0.0095684,0.00717504,-0.00217653,0.0075,52,2
-2.89511e-07,-6.09672e-06,-5.60151e-08,0.0098158,0.00724103,-0.00193808,0.0075,53,2
-2.9263e-07,-6.09376e-06,-5.66092e-08,0.00993641,0.0072732,-0.00182184,0.0075,54,2
-2.98925e-07,-6.08823e-06,-5.7752e-08,0.0101838,0.0073274,-0.00158045,0.0075,55,2
-3.02112e-07,-6.0853e-06,-5.83305e-08,0.0103044,0.00735383,-0.00146277,0.0075,56,2
-3.08498e-07,-6.07984e-06,-5.94378e-08,0.0105518,0.00739613,-0.001219,0.0075,57,2
-3.11714e-07,-6.07695e-06,-6.00192e-08,0.0106724,0.00741675,-0.00110017,0.0075,58,2
-3.18101e-07,-6.07158e-06,-6.1128e-08,0.0109198,0.00744703,-0.000854625,0.0075,59,2
-3.21353e-07,-6.06871e-06,-6.16891e-08,0.0110405,0.00746179,-0.000734923,0.0075,60,2
-3.27764e-07,-6.0634e-06,-6.27537e-08,0.0112879,0.00748,-0.000488187,0.0075,61,2
-3.31011e-07,-6.06057e-06,-6.33137e-08,0.0114085,0.00748887,-0.000367904,0.0075,62,2
-3.37355e-07,-6.05533e-06,-6.43718e-08,0.0116559,0.00749494,-0.000120573,0.0075,63,2
-3.40606e-07,-6.05251e-06,-6.49071e-08,0.0117765,0.0074979,1.60417e-19,0.0075,64,2
-3.46906e-07,-6.04729e-06,-6.59128e-08,0.0120239,0.00749183,0.000247331,0.0075,65,2
-3.5012e-07,-6.04449e-06,-6.64428e-08,0.0121445,0.00748887,0.000367904,0.0075,66,2
-3.56284e-07,-6.03932e-06,-6.74337e-08,0.0123919,0.00747067,0.00061464,0.0075,67,2
-3.5947e-07,-6.03652e-06,-6.79348e-08,0.0125125,0.00746179,0.000734923,0.0075,68,2
-3.65528e-07,-6.03132e-06,-6.88653e-08,0.0127599,0.00743151,0.000980468,0.0075,69,2
-3.68645e-07,-6.02853e-06,-6.9357e-08,0.0128805,0.00741675,0.00110017,0.0075,70,2
-3.74505e-07,-6.02333e-06,-7.02653e-08,0.0131279,0.00737445,0.00134393,0.0075,71,2
-3.77565e-07,-6.02051e-06,-7.07239e-08,0.0132486,0.00735383,0.00146277,0.0075,72,2
-3.83267e-07,-6.01522e-06,-7.15635e-08,0.013496,0.00729962,0.00170416,0.0075,73,2
-3.86229e-07,-6.01238e-06,-7.20092e-08,0.0136166,0.0072732,0.00182184,0.0075,74,2
-3.9168e-07,-6.00703e-06,-7.28202e-08,0.013864,0.00720721,0.00206028,0.0075,75,2
-3.94563e-07,-6.00413e-06,-7.32286e-08,0.0139846,0.00717504,0.00217653,0.0075,76,2
