uN:0,uN:1,uN:2,arc_length,Points:0,Points:1,Points:2,Point ID,Block Number
-1.67024e-07,-6.21777e-06,-2.00613e-08,0,0,-0.00746552,0.0075,0,3
-1.68855e-07,-6.20325e-06,-1.16765e-08,0.000454034,0.000451847,-0.00742101,0.0075,1,3
-1.67298e-07,-6.19857e-06,-2.97793e-08,0.0014635,0.00145645,-0.00732207,0.0075,2,3
-1.67796e-07,-6.19599e-06,-4.00131e-08,0.00191753,0.00189093,-0.00719027,0.0075,3,3
-1.75033e-07,-6.16622e-06,-2.53089e-08,0.00292699,0.00285693,-0.00689724,0.0075,4,3
-1.80207e-07,-6.14946e-06,-1.70366e-08,0.00338103,0.00325735,-0.00668321,0.0075,5,3
-1.8628e-07,-6.14022e-06,-3.88323e-08,0.00439049,0.00414762,-0.00620735,0.0075,6,3
-2.02076e-07,-6.10671e-06,-2.35025e-08,0.00539996,0.00492795,-0.00556695,0.0075,7,3
-2.06455e-07,-6.10118e-06,-3.55995e-08,0.00585399,0.00527892,-0.00527892,0.0075,8,3
-2.16528e-07,-6.08228e-06,-2.88397e-08,0.00630802,0.00556695,-0.00492795,0.0075,9,3
-2.31293e-07,-6.0699e-06,-4.98395e-08,0.00731749,0.00620735,-0.00414762,0.0075,10,3
-2.39737e-07,-6.0625e-06,-6.18878e-08,0.00777152,0.00642138,-0.0037472,0.0075,11,3
-2.64319e-07,-6.02934e-06,-4.80852e-08,0.00878098,0.00689724,-0.00285693,0.0075,12,3
-2.78344e-07,-6.01027e-06,-4.14605e-08,0.00923502,0.00702904,-0.00242245,0.0075,13,3
-2.98547e-07,-5.999e-06,-6.27436e-08,0.0102445,0.00732207,-0.00145645,0.0075,14,3
-3.09176e-07,-5.99132e-06,-7.42606e-08,0.0106985,0.00736657,-0.0010046,0.0075,15,3
-3.36717e-07,-5.96079e-06,-6.08991e-08,0.011708,0.00746552,1.71425e-19,0.0075,16,3
-3.5153e-07,-5.94188e-06,-5.37152e-08,0.012162,0.00742101,0.000451847,0.0075,17,3
-3.70253e-07,-5.93189e-06,-7.45853e-08,0.0131715,0.00732207,0.00145645,0.0075,18,3
-3.79909e-07,-5.92299e-06,-8.6138e-08,0.0136255,0.00719027,0.00189093,0.0075,19,3
-4.02108e-07,-5.89198e-06,-7.0393e-08,0.014635,0.00689724,0.00285693,0.0075,20,3
-4.14599e-07,-5.87118e-06,-6.15669e-08,0.015089,0.00668321,0.00325735,0.0075,21,3
-4.25964e-07,-5.85563e-06,-8.18274e-08,0.0160985,0.00620735,0.00414762,0.0075,22,3
-4.38386e-07,-5.8154e-06,-6.36314e-08,0.0171079,0.00556695,0.00492795,0.0075,23,3
-4.45758e-07,-5.80128e-06,-7.47293e-08,0.017562,0.00527892,0.00527892,0.0075,24,3
-4.55325e-07,-5.7752e-06,-6.81747e-08,0.018016,0.00492795,0.00556695,0.0075,25,3
-4.61503e-07,-5.74312e-06,-7.88701e-08,0.0190255,0.00414762,0.00620735,0.0075,26,3
-4.69927e-07,-5.72005e-06,-8.49856e-08,0.0194795,0.0037472,0.00642138,0.0075,27,3
-4.77781e-07,-5.6624e-06,-7.19889e-08,0.020489,0.00285693,0.00689724,0.0075,28,3
-4.8773e-07,-5.62958e-06,-6.19742e-08,0.020943,0.00242245,0.00702904,0.0075,29,3
-5.01058e-07,-5.57611e-06,-7.50115e-08,0.0219525,0.00145645,0.00732207,0.0075,30,3
-5.16445e-07,-5.54572e-06,-8.13348e-08,0.0224065,0.0010046,0.00736657,0.0075,31,3
-5.32264e-07,-5.47189e-06,-6.42616e-08,0.023416,-1.71425e-19,0.00746552,0.0075,32,3
-5.47289e-07,-5.43527e-06,-5.28791e-08,0.02387,-0.000451847,0.00742101,0.0075,33,3
-5.80597e-07,-5.36946e-06,-6.54413e-08,0.0248795,-0.00145645,0.00732207,0.0075,34,3
-6.06788e-07,-5.33846e-06,-7.16052e-08,0.0253335,-0.00189093,0.00719027,0.0075,35,3
-6.39841e-07,-5.25959e-06,-5.32492e-08,0.026343,-0.00285693,0.00689724,0.0075,36,3
-6.61244e-07,-5.22526e-06,-4.00858e-08,0.026797,-0.00325735,0.00668321,0.0075,37,3
-7.19882e-07,-5.16512e-06,-5.49424e-08,0.0278064,-0.00414762,0.00620735,0.0075,38,3
-7.69648e-07,-5.09571e-06,-4.23469e-08,0.0288159,-0.00492795,0.00556695,0.0075,39,3
-8.06563e-07,-5.07277e-06,-4.57845e-08,0.0292699,-0.00527892,0.00527892,0.0075,40,3
-8.86032e-07,-5.03617e-06,-5.36568e-08,0.0302794,-0.00591931,0.00449859,0.0075,41,3
-9.10575e-07,-5.0091e-06,-4.49426e-08,0.0307334,-0.00620735,0.00414762,0.0075,42,3
-9.67975e-07,-4.96017e-06,-1.75496e-08,0.0317429,-0.00668321,0.00325735,0.0075,43,3
-1.01087e-06,-4.9518e-06,-2.98894e-08,0.0321969,-0.00689724,0.00285693,0.0075,44,3
-1.09921e-06,-4.94682e-06,-3.69639e-08,0.0332064,-0.00719027,0.00189093,0.0075,45,3
-1.12303e-06,-4.9292e-06,-3.0523e-08,0.0336604,-0.00732207,0.00145645,0.0075,46,3
-1.17844e-06,-4.9041e-06,-1.29171e-08,0.0346699,-0.00742101,0.000451847,0.0075,47,3
-1.22186e-06,-4.91146e-06,-2.25906e-08,0.0351239,-0.00746552,0,0.0075,48,3
